===== CommonEvents.rxdata =====  (Array 111 项, index 0 为 nil 占位)
   2| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28ae5b98 @list=[#<RPG::MoveCommand:0x0000022e28ae5b20 @parameters=[], @code=37>, #<RPG::MoveCommand:0x0000022e28ae5aa8 @parameters=[], @code=3>, #<RPG::MoveCommand:0x0000022e28ae5a58 @parameters=[], @code=38>, #<RPG::MoveCommand:0x0000022e28ae59e0 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   2| (code 509)             | #<RPG::MoveCommand:0x0000022e28ae5b20 @parameters=[], @code=37>
   2| (code 509)             | #<RPG::MoveCommand:0x0000022e28ae5aa8 @parameters=[], @code=3>
   2| (code 509)             | #<RPG::MoveCommand:0x0000022e28ae5a58 @parameters=[], @code=38>
   2| Wait                   | 60
   2| Scroll Picture         | 5
   2| Control Switches       | 181 | 181 | 1
   2| Control Variables      | 4 | 4 | 0 | 0 | 0
   2| Exit Event Processing  |
   2| (code 0)               |
   1| Conditional End        |
   1| Play BGM               | Distant (vol=100, pitch=100)
   1| Scroll Picture         | 10
   1| Call Script            | Graphics.smooth = true
   1| Show Picture           | 1 | cg_dream1_4 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 2 | cg_dream1_3 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 3 | cg_dream1_2 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 4 | cg_dream1_1 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 5 | black | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Move Picture           | 5 | 10 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 20
   1| Batch Text             | 23
   1| Move Picture           | 4 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 30
   1| Scroll Picture         | 4
   1| Batch Text             | 23
   1| Move Picture           | 3 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 30
   1| Scroll Picture         | 3
   1| Batch Text             | 23
   1| Move Picture           | 2 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 30
   1| Scroll Picture         | 2
   1| Batch Text             | 23
   1| Move Picture           | 5 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Fade BGM               | 5
   1| Wait                   | 60
   1| Scroll Picture         | 1
   1| Move Picture           | 5 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Call Script            | Graphics.smooth = false
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28adf900 @list=[#<RPG::MoveCommand:0x0000022e28adf860 @parameters=[], @code=37>, #<RPG::MoveCommand:0x0000022e28adf810 @parameters=[], @code=3>, #<RPG::MoveCommand:0x0000022e28adf7c0 @parameters=[], @code=38>, #<RPG::MoveCommand:0x0000022e28adf770 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28adf860 @parameters=[], @code=37>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28adf810 @parameters=[], @code=3>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28adf7c0 @parameters=[], @code=38>
   1| Wait                   | 60
   1| Change Fog Tone        | -1 | 2
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28adf450 @list=[#<RPG::MoveCommand:0x0000022e28adf3b0 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28adf360 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28adf3b0 @parameters=[], @code=16>
   1| Wait                   | 20
   1| Show Text              | @niko \p? Are you still there?
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Yes | 0
   1| Choices Branch         | 0 | Yes
   2| (code 0)               |
   1| Choices End            |
   1| Text Options           | 2 | 0
   1| Play BGM               | IntoTheLight (vol=5, pitch=90)
   1| Call Script            | Script.fadein_bgm(90,5)
   1| Show Text              | @niko_speak Ah.\> I'm awake.
   1| Show Text              | @niko I had a dream just now.
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | I saw. | 0
   1| Choices Branch         | 0 | I saw.
   2| (code 0)               |
   1| Choices End            |
   1| Text Options           | 2 | 0
   1| Show Text              | @niko You did?\>\n\@niko_speak Wow!
   1| Show Text              | @niko_eyeclosed ....I...\|I really thought I was back home...
   1| Show Text              | @niko Oh, the sun back in my home world isn't a lightbulb.\>\n\@niko_speak It's a big ball of fire in the sky!
   1| Show Text              | @niko I don't think I would be able to hold it like I do with the sun from your world...
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | This isn't my world. | 0
   1| Choices Branch         | 0 | This isn't my world.
   2| (code 0)               |
   1| Choices End            |
   1| Change Fog Tone        | -1 | 1
   1| Wait                   | 10
   1| Text Options           | 2 | 0
   1| Show Text              | @niko_speak Huh?
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | This isn't the world I live in. | 0
   1| Choices Branch         | 0 | This isn't the world I live in.
   2| (code 0)               |
   1| Choices End            |
   1| Text Options           | 2 | 0
   1| Show Text              | @niko_speak Really?\>\n\@niko_eyeclosed ...ah, I guess not.\>\n\@niko If you're the god of this world, you wouldn't necessarily be in it.
   1| Show Text              | @niko_speak What's your home world called?
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Earth., That's a secret. | 0
   1| Choices Branch         | 0 | Earth.
   2| Change Fog Tone        | -1 | 1
   2| Wait                   | 10
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_speak Earth?\>\n\@niko Like, the stuff on the ground?\>\n\@niko_speak ...Wait, do you live underground?
   2| Text Options           | 1 | 1
   2| Show Text              |
   2| Show Choices           | Yes, No | 2
   2| Choices Branch         | 0 | Yes
   3| Text Options           | 2 | 0
   3| Show Text              | @niko_speak Wow...\>\n\@niko_eyeclosed I can't imagine what that's like...
   3| (code 0)               |
   2| Choices Branch         | 1 | No
   3| Text Options           | 2 | 0
   3| Show Text              | @niko Ah, neither do we!\>\n\@niko But shrews and field mice and stuff do.
   3| (code 0)               |
   2| Choices End            |
   2| (code 0)               |
   1| Choices Branch         | 1 | That's a secret.
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_eyeclosed I see...
   2| (code 0)               |
   1| Choices End            |
   1| Show Text              | @niko_speak Does your world have a sun?
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Yes, it's also a ball of fire., I can't tell you that. | 0
   1| Choices Branch         | 0 | Yes, it's also a ball of fire.
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_speak Really?\>\n\@niko_pancakes Wow!\>\n\@niko Can you hold it?
   2| Show Text              | @niko ...
   2| Show Text              | @niko_eyeclosed ...\nThat was a silly question, wasn't it...
   2| (code 0)               |
   1| Choices Branch         | 1 | I can't tell you that.
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_eyeclosed Oh...
   2| (code 0)               |
   1| Choices End            |
   1| Show Text              | @niko The sun in my home world is very bright.\>\n\@niko_speak Warm, too!\>\n\@niko You saw, right?
   1| Show Text              | @niko But it goes away sometimes, at night.\>\n\@niko_eyeclosed Everything gets dark, kinda like how this world is now.
   1| Show Text              | @niko_speak But it's okay because the sun always comes back the next day.\>\n\@niko That's good, don't you think?
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Yeah., My world is like that too. | 0
   1| Choices Branch         | 0 | Yeah.
   2| Text Options           | 2 | 0
   2| Show Text              | @niko M-hm!
   2| Show Text              | @niko During the night, people usually go to sleep.\>\n\@niko_speak But some people stay up and use computers!
   2| (code 0)               |
   1| Choices Branch         | 1 | My world is like that too.
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_speak Ah!\>\nDo you sleep during the night?
   2| Show Text              | @niko We go to sleep, usually.\>\n\@niko_speak But some people stay up and use computers!
   2| (code 0)               |
   1| Choices End            |
   1| Fade BGM               | 5
   1| Show Text              | @niko I... don't have to explain what they are, do I?\>\n\@niko_speak There's a bunch of them in this world!
   1| Play BGM               | Phosphor (vol=70, pitch=50)
   1| Show Text              | @niko_eyeclosed An-anyway, we should probably get going...
   1| Control Switches       | 51 | 51 | 0
   1| Control Switches       | 181 | 181 | 1
   1| Exit Event Processing  |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 0 | 183 | 0
   1| Conditional Branch     | 0 | 211 | 0
   2| Scroll Picture         | 1
   2| Scroll Picture         | 2
   2| Scroll Picture         | 3
   2| Scroll Picture         | 4
   2| Scroll Picture         | 5
   2| Show Picture           | 6 | black | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   2| Move Picture           | 6 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   2| Play BGM               | ToSleep (vol=75, pitch=100)
   2| Call Script            | Graphics.smooth = false
   2| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28ad7340 @list=[#<RPG::MoveCommand:0x0000022e28ad72c8 @parameters=[], @code=37>, #<RPG::MoveCommand:0x0000022e28ad7250 @parameters=[], @code=3>, #<RPG::MoveCommand:0x0000022e28ad71d8 @parameters=[], @code=38>, #<RPG::MoveCommand:0x0000022e28ad7160 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   2| (code 509)             | #<RPG::MoveCommand:0x0000022e28ad72c8 @parameters=[], @code=37>
   2| (code 509)             | #<RPG::MoveCommand:0x0000022e28ad7250 @parameters=[], @code=3>
   2| (code 509)             | #<RPG::MoveCommand:0x0000022e28ad71d8 @parameters=[], @code=38>
   2| Wait                   | 60
   2| Scroll Picture         | 6
   2| Control Switches       | 183 | 183 | 1
   2| Exit Event Processing  |
   2| (code 0)               |
   1| Conditional End        |
   1| Control Variables      | 1 | 1 | 0 | 0 | 0
   1| Play BGM               | Distant (vol=100, pitch=100)
   1| Scroll Picture         | 10
   1| Call Script            | Graphics.smooth = true
   1| Show Picture           | 1 | cg_dream2_5 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 2 | cg_dream2_4 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 3 | cg_dream2_3 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 4 | cg_dream2_2 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 5 | cg_dream2_1 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 6 | black | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Move Picture           | 6 | 10 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 20
   1| Batch Text             | 23
   1| Move Picture           | 5 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 30
   1| Scroll Picture         | 5
   1| Batch Text             | 23
   1| Move Picture           | 4 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 30
   1| Scroll Picture         | 4
   1| Batch Text             | 23
   1| Move Picture           | 3 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 30
   1| Scroll Picture         | 3
   1| Batch Text             | 23
   1| Move Picture           | 2 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 30
   1| Scroll Picture         | 2
   1| Batch Text             | 23
   1| Move Picture           | 6 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Fade BGM               | 5
   1| Wait                   | 60
   1| Scroll Picture         | 1
   1| Move Picture           | 6 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Call Script            | Graphics.smooth = false
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28ad5c98 @list=[#<RPG::MoveCommand:0x0000022e28ad5bf8 @parameters=[], @code=37>, #<RPG::MoveCommand:0x0000022e28ad5ba8 @parameters=[], @code=3>, #<RPG::MoveCommand:0x0000022e28ad5b58 @parameters=[], @code=38>, #<RPG::MoveCommand:0x0000022e28ad5b08 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28ad5bf8 @parameters=[], @code=37>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28ad5ba8 @parameters=[], @code=3>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28ad5b58 @parameters=[], @code=38>
   1| Wait                   | 60
   1| Change Fog Tone        | -1 | 2
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28ad57c0 @list=[#<RPG::MoveCommand:0x0000022e28ad5770 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28ad56f8 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28ad5770 @parameters=[], @code=16>
   1| Wait                   | 20
   1| Show Text              | @niko_speak \p, I had another dream!
   1| Show Text              | @niko Did you see this one too?
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Yeah | 0
   1| Choices Branch         | 0 | Yeah
   2| (code 0)               |
   1| Choices End            |
   1| Text Options           | 2 | 0
   1| Play BGM               | IntoTheLight (vol=5, pitch=90)
   1| Call Script            | Script.fadein_bgm(90,5)
   1| Show Text              | @niko I was in a big field, like the one in my last dream...
   1| Show Text              | @niko_speak And... I saw my village!\>\n\@niko_eyeclosed ...but then I woke up.
   1| Show Text              | @niko_eyeclosed Sigh...
   1| Show Text              | @niko Ah, I don't think this world has anything like that...\>\n\@niko_speak I mean, big wheat fields!
   1| Show Text              | @niko_eyeclosed The only big plants I've seen here are a bunch of weird trees.\>\n\@niko And those balls of moss floating in the water...
   1| Show Text              | @niko_eyeclosed Wait, is moss even a plant...?
   1| Show Text              | @niko ...\>\n\@niko_speak ...Say, have you seen a wheat field before, \p?
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Yes., No. | 0
   1| Choices Branch         | 0 | Yes.
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_speak Oh!\>\n\@niko They're really pretty, aren't they?
   2| (code 0)               |
   1| Choices Branch         | 1 | No.
   2| Text Options           | 2 | 0
   2| Show Text              | @niko Ah.... well...\>\n\@niko_speak They're really pretty! \>\@niko They look like-
   2| Show Text              | @niko_eyeclosed Wait... you just saw one in my dream...
   2| (code 0)               |
   1| Choices End            |
   1| Show Text              | @niko_speak The one around my village goes around for miles!
   1| Show Text              | @niko_speak The plants are really tall, sometimes I can't even see through them!\>\n\@niko When it's windy out, the wind can make waves in it.
   1| Show Text              | @niko It's like an ocean...\>\n\@niko_speak ...of food!
   1| Show Text              | @niko Oh, wait, but there's food in regular oceans too...\>\n\@niko Like fish, \@niko_speak or crabs!
   1| Show Text              | @niko_eyeclosed I've never actually been to a real ocean until now, actually...
   1| Show Text              |
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Me neither., I've been to the ocean. | 0
   1| Choices Branch         | 0 | Me neither.
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_speak Oh!\>\n\@niko I guess we have that in common, \p!
   2| Show Text              | @niko But you're kind of seeing the ocean now? In this world, anyway.
   2| Show Text              | @niko_speak As for me, I've seen them on TV before!
   2| (code 0)               |
   1| Choices Branch         | 1 | I've been to the ocean.
   2| Text Options           | 2 | 0
   2| Show Text              | @niko That's really cool, \p!\>\n\@niko I've only seen the ocean on TV before.
   2| (code 0)               |
   1| Choices End            |
   1| Show Text              | @niko_pancakes I never thought I'd get to ride a boat through one!\>\n\@niko The water back home doesn't have glowy stuff like how it is here, either!
   1| Show Text              | @niko_eyeclosed  Ah...but I guess it's because the world is already so dark...
   1| Show Text              | @niko ...Y'know, I used to be scared of the dark, \p! \>\n\@niko_eyeclosed It's a little hard to imagine that now, after spending so much time here...
   1| Show Text              | @niko_eyeclosed But not long ago, I couldn't even go to sleep without a lamp...
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Me too., It's good you got over that. | 0
   1| Choices Branch         | 0 | Me too.
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_speak Really?\>\n\@niko Even though you're a god?
   2| Text Options           | 1 | 1
   2| Show Text              |
   2| Show Choices           | Yeah | 0
   2| Choices Branch         | 0 | Yeah
   3| (code 0)               |
   2| Choices End            |
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_eyeclosed I see...
   2| Show Text              | @niko_speak Oh, but it's a good thing I got over that fear!\>\n\@niko_eyeclosed Otherwise I wouldn't last long here...
   2| Show Text              |
   2| (code 0)               |
   1| Choices Branch         | 1 | It's good you got over that.
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_83c I guess!\>\n\@niko_eyeclosed Otherwise I wouldn't last long here...
   2| Show Text              |
   2| (code 0)               |
   1| Choices End            |
   1| Show Text              | @niko_speak Then again, I've been carrying around the sun, so it's not too bad!
   1| Fade BGM               | 5
   1| Show Text              | @niko And also, I don't feel scared at all with you guiding me!\>\n\@niko_83c So... thanks for that!
   1| Play BGM               | ToSleep (vol=75, pitch=100)
   1| Show Text              | @niko_speak Anyway, maybe we should head out now, \p...
   1| Control Switches       | 184 | 184 | 0
   1| Control Switches       | 183 | 183 | 1
   1| Exit Event Processing  |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 0 | 186 | 0
   1| Control Variables      | 1 | 1 | 0 | 0 | 0
   1| Conditional Branch     | 0 | 211 | 0
   2| Scroll Picture         | 1
   2| Scroll Picture         | 2
   2| Scroll Picture         | 3
   2| Scroll Picture         | 4
   2| Scroll Picture         | 5
   2| Show Picture           | 6 | black | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   2| Move Picture           | 6 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   2| Play BGM               | EleventhHour (vol=100, pitch=100)
   2| Call Script            | Graphics.smooth = false
   2| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28a91fe8 @list=[#<RPG::MoveCommand:0x0000022e28a91f98 @parameters=[], @code=37>, #<RPG::MoveCommand:0x0000022e28a91f48 @parameters=[], @code=2>, #<RPG::MoveCommand:0x0000022e28a91ed0 @parameters=[], @code=38>, #<RPG::MoveCommand:0x0000022e28a91e58 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   2| (code 509)             | #<RPG::MoveCommand:0x0000022e28a91f98 @parameters=[], @code=37>
   2| (code 509)             | #<RPG::MoveCommand:0x0000022e28a91f48 @parameters=[], @code=2>
   2| (code 509)             | #<RPG::MoveCommand:0x0000022e28a91ed0 @parameters=[], @code=38>
   2| Wait                   | 60
   2| Scroll Picture         | 6
   2| Control Switches       | 186 | 186 | 1
   2| Exit Event Processing  |
   2| (code 0)               |
   1| Conditional End        |
   1| Play BGM               | Distant (vol=100, pitch=100)
   1| Scroll Picture         | 10
   1| Call Script            | Graphics.smooth = true
   1| Control Switches       | 186 | 186 | 1
   1| Show Picture           | 1 | cg_dream3_4 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 2 | cg_dream3_3 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 3 | cg_dream3_2 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 4 | cg_dream3_1 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 5 | black | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Move Picture           | 5 | 10 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 20
   1| Batch Text             | 23
   1| Move Picture           | 4 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 30
   1| Scroll Picture         | 4
   1| Batch Text             | 23
   1| Move Picture           | 3 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 30
   1| Scroll Picture         | 3
   1| Batch Text             | 23
   1| Move Picture           | 2 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 30
   1| Scroll Picture         | 2
   1| Batch Text             | 23
   1| Move Picture           | 5 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Fade BGM               | 5
   1| Wait                   | 60
   1| Scroll Picture         | 1
   1| Move Picture           | 5 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Call Script            | Graphics.smooth = false
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28a90b48 @list=[#<RPG::MoveCommand:0x0000022e28a90af8 @parameters=[], @code=37>, #<RPG::MoveCommand:0x0000022e28a90a80 @parameters=[], @code=2>, #<RPG::MoveCommand:0x0000022e28a90a30 @parameters=[], @code=38>, #<RPG::MoveCommand:0x0000022e28a909e0 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28a90af8 @parameters=[], @code=37>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28a90a80 @parameters=[], @code=2>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28a90a30 @parameters=[], @code=38>
   1| Wait                   | 60
   1| Change Fog Tone        | -1 | 2
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28a90710 @list=[#<RPG::MoveCommand:0x0000022e28a906c0 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28a90648 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28a906c0 @parameters=[], @code=16>
   1| Wait                   | 20
   1| Show Text              | @niko \p?\>\n\@niko I had another dream...
   1| Show Text              | @niko Mama was there.\>\n\@niko_speak Did you see her?
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Yes | 0
   1| Choices Branch         | 0 | Yes
   2| (code 0)               |
   1| Choices End            |
   1| Text Options           | 2 | 0
   1| Play BGM               | IntoTheLight (vol=5, pitch=90)
   1| Call Script            | Script.fadein_bgm(90,3)
   1| Show Text              | @niko_pancakes She made me pancakes!\>\n\@niko I... think it was my birthday.
   1| Show Text              | @niko_speak Cuz people always get their favorite food on their birthday!\>\nA whole lot of it!
   1| Show Text              | @niko Do you have a birthday, too?
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Yes, No | 0
   1| Choices Branch         | 0 | Yes
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_speak Oh!\>\n\@niko Then... what's your favorite food?\>\n\@niko_pancakes Is it pancakes?
   2| Show Text              | @niko Wait, DO you like pancakes?
   2| (code 0)               |
   1| Choices Branch         | 1 | No
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_eyeclosed I see...\>\n\@niko_speak Makes sense, since you're a god!
   2| Show Text              | @niko So...\. do you like pancakes too?
   2| (code 0)               |
   1| Choices End            |
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Yes, No | 0
   1| Choices Branch         | 0 | Yes
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_speak Me too!\>\n\@niko On my last birthday, I ate ten of them.\>\n\@niko_eyeclosed I was so full I didn't eat anything else that day...
   2| (code 0)               |
   1| Choices Branch         | 1 | No
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_eyeclosed Ah...\>\n\@niko_speak Well, they're tasty!\>\n\@niko Maybe you should give them a chance, y'know?
   2| (code 0)               |
   1| Choices End            |
   1| Show Text              | @niko_speak My mama makes the best pancakes!\>\n\@niko And some of the neighbors make really good noodles.
   1| Show Text              | @niko_speak And oh! One of our neighbors make a lot of bread.\>\n\@niko Do you have any neighbors?
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Yes, No | 0
   1| Choices Branch         | 0 | Yes
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_speak Oh! Do they share their food with you?
   2| Text Options           | 1 | 1
   2| Show Text              |
   2| Show Choices           | Yes, No | 0
   2| Choices Branch         | 0 | Yes
   3| Text Options           | 2 | 0
   3| Show Text              | @niko Ours do too!
   3| (code 0)               |
   2| Choices Branch         | 1 | No
   3| Text Options           | 2 | 0
   3| Show Text              | @niko_eyeclosed That's not very nice of them...
   3| (code 0)               |
   2| Choices End            |
   2| (code 0)               |
   1| Choices Branch         | 1 | No
   2| Text Options           | 2 | 0
   2| Show Text              | @niko_eyeclosed Oh...\>\n\@niko That sounds a bit lonely.
   2| (code 0)               |
   1| Choices End            |
   1| Show Text              | @niko Our neighbors and my mama take turns making food for the whole village each day.\>\n\@niko_speak Everyone also takes turns doing chores and watching the little kids!
   1| Show Text              | @niko I don't need to be watched anymore, though. \>\n\@niko_speak I'm old enough to help out!
   1| Show Text              | @niko_eyeclosed ...\>\n\@niko I miss everyone.
   1| Fade BGM               | 5
   1| Show Text              | @niko_eyeclosed I've been gone for a while now, haven't I?\>\n\@niko_speak I wonder if they're worried about me...
   1| Play BGM               | OnLittleCatFeet (vol=100, pitch=100)
   1| Show Text              | @niko Ah, speaking of helping out, we should probably go now.
   1| Control Switches       | 187 | 187 | 0
   1| Control Switches       | 186 | 186 | 1
   1| Exit Event Processing  |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 0 | 188 | 0
   1| Control Variables      | 1 | 1 | 0 | 0 | 0
   1| Play BGM               | Distant (vol=100, pitch=80)
   1| Scroll Picture         | 10
   1| Call Script            | Graphics.smooth = true
   1| Control Switches       | 188 | 188 | 1
   1| Show Picture           | 1 | cg_dream4_4 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 2 | cg_dream4_3 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 3 | cg_dream4_2 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 4 | cg_dream4_1 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 5 | black | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Move Picture           | 5 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 60
   1| Batch Text             | 23
   1| Move Picture           | 4 | 60 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 20
   1| Play BGM               | Distant (vol=90, pitch=80)
   1| Wait                   | 60
   1| Play BGM               | Distant (vol=70, pitch=80)
   1| Scroll Picture         | 4
   1| Batch Text             | 23
   1| Move Picture           | 3 | 60 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Fade BGM               | 4
   1| Wait                   | 60
   1| Scroll Picture         | 3
   1| Batch Text             | 23
   1| Play BGM               | (silent)
   1| Wait                   | 20
   1| Move Picture           | 2 | 2 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Play SE                | step_metal04 (vol=100, pitch=50)
   1| Wait                   | 20
   1| Scroll Picture         | 2
   1| Batch Text             | 23
   1| Move Picture           | 5 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Wait                   | 60
   1| Scroll Picture         | 1
   1| Wait                   | 60
   1| Move Picture           | 5 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Call Script            | Graphics.smooth = false
